rownum,schoolName,type,satc,admRate,yield,pctRet2,schoolSz,pctLifeOC,finaidAvgAmt
1009,Salem College,Private,1645,61.0,34.1,74,940,52,
1093,Wentworth Institute of Technology,Private,1660,60.9,29.8,82,4003,51,13719
2530,William Jewell College,Private,1685,60.9,16.7,73,1052,84,25089
3958,University of California: Santa Cruz,Public,1660,60.9,19.0,91,15978,48,24719
2673,University of West Florida,Public,1490,60.8,21.7,71,10332,20,
1859,Judson University,Private,1590,60.7,48.9,79,,65,16287
2511,McNeese State University,Public,1530,60.7,61.1,68,7711,,
2734,Baylor University,Private,1845,60.7,19.3,87,12918,39,
2338,University of South Carolina: Columbia,Public,1800,60.6,32.6,87,23363,36,12340
2839,Saint Peter's University,Private,1390,60.6,19.9,76,2317,36,28057
4431,Huntingdon College,Private,1385,60.5,24.8,55,1118,47,17145
406,Southwestern University,Private,1795,60.5,21.1,86,1394,78,30816
617,North Greenville University,Private,1735,60.5,62.5,69,2215,68,
2883,Faulkner University,Private,1385,60.4,49.2,57,2763,19,4950
299,St. Olaf College,Private,1920,60.4,36.3,93,3176,91,35190
2674,University of Maryland: Baltimore County,Public,1850,60.3,30.4,85,10953,34,10657
107,Stetson University,Private,1730,60.3,27.9,79,2516,67,33011
2721,Augsburg College,Private,1630,60.3,29.6,79,2882,51,
580,Virginia Commonwealth University,Public,1655,60.2,38.1,85,23951,22,11277
2434,Tarleton State University,Public,1480,60.2,46.5,67,8917,30,
1538,Goshen College,Private,1690,60.0,46.0,83,884,67,23399
961,Appalachian Bible College,Private,1535,60.0,90.1,,,76,
155,University of Minnesota: Morris,Public,1790,60.0,29.3,78,1896,46,15592
1326,Medaille College,Private,1315,59.8,44.7,68,1844,20,19409
